title,url,description,main_url,main_title,main_description,combined_description
CE Courses/Schedule - MSDA Continuing Education ...,https://web.cvent.com/event/6d2620a1-832e-4a24-97c8-3a162e1fee03,ADA CERP is a service of the American Dental Association to assist dental professionals in identifying quality providers of continuing dental education. ADA ...,web.cvent.com,EventRsvp,,EventRsvp
Continuing Education - Touro College of Dental Medicine,https://dental.touro.edu/continuing-education/,"Continuing Education - Touro College of Dental Medicine, a division of Touro ... We also offer hands-on courses involving clinical simulation and ...",dental.touro.edu,Touro College of Dental Medicine | Touro University,"Touro College of Dental Medicine has an innovative DDS Program to educate the next generation of dentists, and provides affordable patient care at our clinic.","Touro College of Dental Medicine has an innovative DDS Program to educate the next generation of dentists, and provides affordable patient care at our clinic."
Dental Hygiene Center for Continuing Education Excellence,https://www.ccd.edu/program/dental-hygiene-center-continuing-education-excellence,We are pleased to offer opportunities for continuing education in the fields of dental hygiene and dentistry! All of our course offerings fulfill the ...,www.ccd.edu,Community College of Denver,,Community College of Denver
Continuing Education - WVU School of Dentistry,https://dentistry.wvu.edu/continuing-education/,"Professional continuing education opportunities are provided for dentists, dental hygienists and auxiliary personnel throughout the state to continually ...",dentistry.wvu.edu,Home | School of Dentistry | West Virginia University,,Home | School of Dentistry | West Virginia University
Dental Teams Continuing Education,https://www.northampton.edu/business-training-and-leadership-development/healthcare/dental-teams-continuing-education.htm,Dental Teams Continuing Education · Business and Leadership Development · Corporate and Public Safety · Healthcare · BLS/CPR/First Aid · Career Training ...,www.northampton.edu,One of PA's Most Affordable Colleges | NCC,,One of PA's Most Affordable Colleges | NCC
Dental CE Hands-on Courses,https://stevensondentalsolutions.com/product-category/dental-courses/dental-ce-hands-on-courses/,2-Day/Weekend Courses: These are our most frequent dental CE hands-on courses for dentists. We often hold these classes throughout the weekend to avoid ...,stevensondentalsolutions.com,"Dental Continuing Education Courses, Supplies, and Patient Care","Stevenson Dental Solutions offers dental courses in implant surgery, ceramic crowns, and gold restorations; dental supplies, and concierge patient care.","Stevenson Dental Solutions offers dental courses in implant surgery, ceramic crowns, and gold restorations; dental supplies, and concierge patient care."
Events,https://www.cds.org/education/events,Upcoming Events · New Dentist Night Out · Physical Therapy Tips · Leadership is for Everyone · Oral Cancer · Women In Dentistry – Starting A Practice from Scratch.,www.cds.org,CDS.org | Welcome to the Chicago Dental Society,,CDS.org | Welcome to the Chicago Dental Society
Continuing Education (CDE),https://dental.buffalo.edu/education/continuing-education.html,"... Education (CDE) from the UB School of Dental Medicine. Here, you will find high-quality programs to meet your professional needs. View Complete Course ...",dental.buffalo.edu,School of Dental Medicine - School of Dental Medicine - University at Buffalo,,School of Dental Medicine - School of Dental Medicine - University at Buffalo
Dentistry,https://www.wakeahec.org/dentistry.htm,Dentistry Continuing Education. ... Sponsorship of continuing education courses by the Wake AHEC office does not imply endorsement of a particular ...,www.wakeahec.org,Wake Area Health Education Center,,Wake Area Health Education Center
NC Dental CE,https://www.ncdental.org/events/nc-dental-ce,"NC DENTAL CE Portal ... NCDS now offers an online catalog of CE opportunities that includes NCDS' signature course, Professionalism for New Dentists. Click the ...",www.ncdental.org,North Carolina Dental Society | American Dental Association,,North Carolina Dental Society | American Dental Association
Continuing Education,https://www.ohsu.edu/education/continuing-education,The School of Dentistry has one of the most active continuing dental education programs in the U.S. It offers: 78 one- and two-day courses (many of which ...,www.ohsu.edu,OHSU | Healing Begins with Discovery,,OHSU | Healing Begins with Discovery
Dental Continuing Education Courses,https://www.cod.edu/academics/continuing-education/career-professional-training/health-wellness/dental/dental-continuing-education.aspx,Dental Assistant: Coronal Polish and Fissure Sealant Course Dental Hygiene: Four-Day Local Anesthesia Clinical Course.,www.cod.edu,College of DuPage | College of DuPage,"College of DuPage strives to be the center for excellence in teaching, learning, and cultural experiences by providing accessible, affordable, and comprehensive education.","College of DuPage strives to be the center for excellence in teaching, learning, and cultural experiences by providing accessible, affordable, and comprehensive education."
Dental Hygiene Continuing Education,https://www.pacificu.edu/academics/colleges/college-health-professions/school-dental-hygiene-studies/continuing-education,Nitrous Oxide-Oxygen Sedation for Dentists and Dental Hygienists ... This 14-hour continuing education course provides a study of anxiety and pain management ...,www.pacificu.edu,Pacific University,,Pacific University
Events & Continuing Education,https://www.nycdentalsociety.org/events-continuing-education,What Do Dentists Do? Dental Health FAQs · Oral Health Topics · Find a Dentist · Complaint Resolution Process · News & Publications · Dentists' Quarterly · NYCDS ...,www.nycdentalsociety.org,New York County Dental Society | American Dental Association,,New York County Dental Society | American Dental Association
Dental Continuing Education Courses for Dental CE,https://medixdental.com/presentations/dental-continuing-education-courses/,"Medix Dental IT provides dental continuing education courses to audiences around the ... All courses are suitable for a dentist, orthodontist, oral and ...",medixdental.com,"IT Systems, Security and Data Privacy | Medix Dental IT","Medix Dental IT protects dental practices’ IT systems, security and data privacy, offering technology integration, IT support, data protection, phone/VOIP systems and more.","Medix Dental IT protects dental practices’ IT systems, security and data privacy, offering technology integration, IT support, data protection, phone/VOIP systems and more."
Oral Health Continuing Education & Training,https://www.carequest.org/education,"We educate dental and medical professionals, students, and community partners who are committed to attaining the knowledge and skills required to improve their ...",www.carequest.org,CareQuest Institute for Oral Health,,CareQuest Institute for Oral Health
Online Continuing Education Courses,https://www.deltadentalin.com/onlineeducation,This course will review the need and importance of the age 1 dental visit. A technique will be introduced to help dentists complete the visit in an efficient ...,www.deltadentalin.com,Dental Benefits for Members | Delta Dental of Indiana,,Dental Benefits for Members | Delta Dental of Indiana
Continuing Education | Ohio State Dental Board,https://dental.ohio.gov/continuing-education,"Feb 7, 2022 — Therefore, you may claim up to ten (10) hours of volunteer CE for dentists and up to six (6) hours of volunteer CE for dental hygienists. "" ...",dental.ohio.gov,404 Error Page,,404 Error Page
California Dental Board Mandatory CE Courses,https://dentistry.ucla.edu/course/2414,"Jan 1, 2023 — California Dental Board Mandatory CE Courses - (On-Demand Self Study) · Schedule II Opioids • CA Dental Practice Act • CA Infection Control.",dentistry.ucla.edu,Home | UCLA Dentistry,,Home | UCLA Dentistry
Elite Dental Hygiene Continuing Education Courses,http://www.elitedentalhygiene.com/courses/,"Buy this course. Human Trafficking for the Dentalcare Provider (Tracking ID ... Preventing Medical Errors in Dentistry (Tracking ID #: 20-735570, 2 CE ...",www.elitedentalhygiene.com,Elite | Dental Hygiene,,Elite | Dental Hygiene
Browse Dental CE Courses & Conferences 2023,https://www.emedevents.com/profession/Dentist,"One-stop Continuing Education Hub for Dentists, Dental Hygienists, Dental Assistants CE Credits. Browse & Register for exclusive CE Courses and Conferences.",www.emedevents.com,CME/CE Conferences 2023 | Find Online CME Courses & Onsite Medical Conferences,,CME/CE Conferences 2023 | Find Online CME Courses & Onsite Medical Conferences
Dental Education & Training Resources - Peak Performers,https://peakperformersinc.com/education-training/,Contact us today for the best dental staffing solutions! OUR EXPERTISE. Dentists · Dental Hygienists/ Assistants · Office/ Administrative ...,peakperformersinc.com,Top Dental Staffing Firm | Peak Performers,"We are Peak Performers, a tight team of dedicated dental staffing agents providing Michigan's dental industry the very best staffing & employment solutions.","We are Peak Performers, a tight team of dedicated dental staffing agents providing Michigan's dental industry the very best staffing & employment solutions."
Continuing Education | School of Dental Medicine,https://www.dental.pitt.edu/education/continuing-education,The University of Pittsburgh is an American Dental Association Continuing Education Recognition Program (ADA CERP) recognized provider. ADA CERP is a service of ...,www.dental.pitt.edu,Home | School of Dental Medicine,,Home | School of Dental Medicine
Continuing Education Overview | Iowa Dental Board,https://dentalboard.iowa.gov/practitioners/continuing-education-overview,"A dental science course that includes topics which address the clinical practice of dentistry, dental hygiene, dental assisting and dental public health. b.",dentalboard.iowa.gov,Home | Iowa Dental Board,,Home | Iowa Dental Board
Continuing Education,https://dentistry.utah.edu/education/continuing-education,The School of Dentistry is committed to provide lifelong learning experiences for all dental professionals seeking to enhance their competency and knowledge in ...,dentistry.utah.edu,School of Dentistry | University of Utah,,School of Dentistry | University of Utah
Continuing Education - Oklahoma Board of Dentistry,https://www.ok.gov/dentistry/Continuing_Education/index.html,"Failure to report your required CE will result in a $1,000 fine for dentists and a $500 fine for dental hygienists, and you will still be required to make-up ...",www.ok.gov,Oklahoma.gov Home,Welcome to Oklahoma's Official Web Site,Welcome to Oklahoma's Official Web Site
Continuing Education - Dental Hygiene Board of California,https://www.dhbc.ca.gov/licensees/cont_ed.shtml,What are the mandatory courses for license renewal? · 2 CEUs of Infection Control. Title 16 CCR §1017(a)(1) · 2 CEUs of the California Dental Practice Act. Title ...,www.dhbc.ca.gov,Dental Hygiene Board of California,,Dental Hygiene Board of California
Live Dental CE Courses Available on Dental Online Training,https://www.dothandson.com/live-dental-ce-courses,5 reasons you should add live dental CE courses to your dental educational portfolio. ... Dentists have many alternatives to continue to learn and Dental Online ...,www.dothandson.com,Dental Online Training | Hands-on Courses and Mentorship,Become a better cosmetic dentist with Dental Online Training. Go from tooth dentistry to complete dentistry with hands-on training and mentorship.,Become a better cosmetic dentist with Dental Online Training. Go from tooth dentistry to complete dentistry with hands-on training and mentorship.
Dental Courses And Events,https://www.kerrdental.com/dental-courses-and-events,Kerr's dental courses and events: a full schedule of activities designed to meet your ... This one-day hands-on course is designed for general dentists and ...,www.kerrdental.com,Dental Supplies - Dental Products | KerrDental.com,,Dental Supplies - Dental Products | KerrDental.com
Events | Oklahoma Dental Association,https://www.okda.org/events/,Continuing Education · Need CE? We've got you covered! · Check out our upcoming CE Courses · Are you a Member? · Dental Assistant & Hygiene Courses · JADA Online CE.,www.okda.org,Keeping Dentistry Strong in Oklahoma | Oklahoma Dental Association,The Oklahoma Dental Association is a statewide professional membership organization representing Oklahoma-licensed dentists and dental students.,The Oklahoma Dental Association is a statewide professional membership organization representing Oklahoma-licensed dentists and dental students.
"Required CE Courses - Opioid, LEAP, Sedation",https://www.gadental.org/education/required-ce-courses---opioid-leap-sedation,Dentists are required to have at least 40 hours of continuing education (for hygienists the requirement is 22) by the end of 2023 in order to renew your ...,www.gadental.org,Georgia Dental | American Dental Association,,Georgia Dental | American Dental Association
Dental CE Courses - Kois Center,https://www.koiscenter.com/courses/,Do Dental Insurance Benefits Expire? Do Some Dentists Take More Continuing Education Than Others? ... Does Insurance Cover Cosmetic Dentistry? How Much Radiation ...,www.koiscenter.com,Advancing Dentistry Through Science | Kois Center,"The Kois Center is an evidence based teaching center with the latest advances in esthetics, implants and restorative dentistry.","The Kois Center is an evidence based teaching center with the latest advances in esthetics, implants and restorative dentistry."
CE Courses – Scranton Dental,https://www.scrantondental.org/product-category/ce-courses/,Course 2: Evidence Based Analgesia for Dental Professionals; and Three Serious Adverse Drug Interactions That Every Dentist Should Know About.,www.scrantondental.org,Scranton Dental,,Scranton Dental
Course Approval - Board of Dentistry - Kentucky.gov,https://dentistry.ky.gov/Continuing-Education/Pages/Approved-Courses.aspx,"Most continuing education courses associated with a dentist or dental hygienist license do not require pre-approval. For example, the 30 hours of CE ...",dentistry.ky.gov,Welcome -               Board of Dentistry,,Welcome -               Board of Dentistry
Dentist Continuing Education Information,https://portal.ct.gov/DPH/Practitioner-Licensing--Investigations/Dentist/Dentist-Continuing-Education-Information,Licensed dentists shall earn a minimum of twenty-five contact hours of qualifying continuing education every two years. One contact hour is a minimum of fifty ...,portal.ct.gov,CT.GOV-Connecticut's Official State Website,,
Continuing Education - Adams School of Dentistry,https://dentistry.unc.edu/ce/,This continuing education program is presented by the UNC-Chapel Hill Adams School of Dentistry and the Continuing Dental Education program. The Continuing ...,dentistry.unc.edu,Home - Adams School of Dentistry : Adams School of Dentistry,"North Carolina's first dental school, the University of North Carolina at Chapel Hill Adams School of Dentistry is shaping the future of oral health care","North Carolina's first dental school, the University of North Carolina at Chapel Hill Adams School of Dentistry is shaping the future of oral health care"
Dental Care Continuing Education,https://howardacademy.edu/why-is-continuing-education-important-in-dental-care/,"Jan 22, 2023 — A trip to the dentist can be a nerve-wracking experience for many and continuing education can help dental assistants and hygienists learn what ...",howardacademy.edu,Dental Assistant School and Programs San Diego,Howard Healthcare Academy’s Dental Assistant School is one of the best in the country for certifying new dental assistants. Click here to learn more!,Howard Healthcare Academy’s Dental Assistant School is one of the best in the country for certifying new dental assistants. Click here to learn more!
Heartland Dental Continuing Education Classes,https://blog.heartland.com/heartland-dental-continuing-education-classes,This program helps supported dentists of all experience levels become the definitive dental leaders in their respective marketplaces. The DMP consists of ...,blog.heartland.com,Heartland Dental Blog,"Heartland Dental Supports Dental Practices With Education, Collaboration, & Quality Care. Learn More About Us & Find A Supported Career Perfect For You.","Heartland Dental Supports Dental Practices With Education, Collaboration, & Quality Care. Learn More About Us & Find A Supported Career Perfect For You."
DSPS Dentist Continuing Education,https://dsps.wi.gov/Pages/Professions/Dentist/CE.aspx,"Dentist Continuing Education – New Requirement ... CE courses must be sponsored or recognized by local, state, regional, national, or international dental ...",dsps.wi.gov,DSPS                                       Home,,DSPS                                       Home
Continuing Education Overview,https://www.nddentalboard.org/practitioners/CE/index.asp,"However, CPR, or BLS or if you are required to have ACLS/PALS, must be maintained at all times. Renewal deadline for all dentists and dental hygienists is ...",www.nddentalboard.org,Welcome - ND Dental Board,,Welcome - ND Dental Board
Louisiana State Board of Dentistry - Continuing Education,http://www.lsbd.org/conted.htm,The Louisiana State Board of Dentistry accepts proof of licensees' continuing education submitted online through CE Broker. CE Broker will keep a record of ...,www.lsbd.org,Louisiana State Board of Dentistry - Home,,Louisiana State Board of Dentistry - Home
Colorado Dental Board: Continuing Education,https://dpo.colorado.gov/Dental/CE,"Every Dentist, Dental Therapist, and Dental Hygienist, as a condition of renewing, reactivating or reinstating a license must complete at least 30 hours of ...",dpo.colorado.gov,DPO HOME | Division of Professions and Occupations,,DPO HOME | Division of Professions and Occupations
CE Requirements,https://www.azda.org/ce-events/ce-requirements,Dentist CE requirements in Arizona? ... Dentists and dental consultants shall complete 63 hours of recognized continuing dental education in each renewal period ...,www.azda.org,Arizona Dental Association | American Dental Association,"The Arizona Dental Association (AzDA) ​is the voice of dentistry in Arizona. With over 2,500 member dentists, the ​AzDA is dedicated to empowering members to advocate for better oral health of Arizonans and provide the highest quality care for their patients.","The Arizona Dental Association (AzDA) ​is the voice of dentistry in Arizona. With over 2,500 member dentists, the ​AzDA is dedicated to empowering members to advocate for better oral health of Arizonans and provide the highest quality care for their patients."
Trends in Dental CE Courses Shed Light on Industry Divide,https://www.oralhealthgroup.com/features/trends-in-dental-ce-courses-shed-light-on-industry-divide/,"Aug 31, 2018 — It's probably no surprise that 71.3 per cent of Canadian dentists* have taken cosmetic/restorative dentistry CE courses in the last two ...",www.oralhealthgroup.com,Home - Oral Health Group,MARKETPLACE NEWS NEWS,MARKETPLACE NEWS NEWS
Overview & Guidelines - South Dakota Board of Dentistry,https://www.sdboardofdentistry.org/continuingEducation/overview.asp,"Jun 8, 2023 — Dentists must earn 100 hours of continuing education in every 5-year CE ... A dentist must complete a CPR course that is intended for a ...",www.sdboardofdentistry.org,Home - South Dakota Board of Dentistry,,Home - South Dakota Board of Dentistry
Dental Hygiene CE Courses,https://healthprofessions.uams.edu/programs/dentalhygiene/dental-hygiene-ce-courses/,Completion fulfills the required continuing education credits for dental health care workers. Course is fully on-line and always open. Note: Course opens 1/15/ ...,healthprofessions.uams.edu,College of Health Professions,UAMS,UAMS
Continuing Education,https://www.vsds.org/meetings-events/continuing-education,"The Vermont State Dental Society is Vermont's leading source for continuing education programs. We provide quality opportunities for all dental professionals, ...",www.vsds.org,VSDS | Vermont State Dental Society,,VSDS | Vermont State Dental Society
Dental Continuing Education Seminars,https://www.rondeauseminars.com/seminars/,"Rondeau Seminars offers dental continuing education seminars to dentists, from one day intro courses to full weekend seminars. Register today.",www.rondeauseminars.com,Dental Continuing Education | Rondeau Seminars,"Rondeau Seminars is the leader in dental continuing education. Grow your dental practice--register today for a seminar, online course, or study club.","Rondeau Seminars is the leader in dental continuing education. Grow your dental practice--register today for a seminar, online course, or study club."
