Title,Group Offers?,Description,main_title,CE Course URL,main_url,description
KCSI , True , A comprehensive dental continuing education provider offering online and hands-on courses for general dentists and oral surgeons.,Courses for General Dentists - Koerner Center Oral Surgery Continuing Education,https://koernercenter.com/,koernercenter.com,"Yet, most patients would like their dentist to perform as many procedures as possible “in-house”, especially extractions. KCSI helps dentists quickly gain ..."
Medix Dental IT , True ," Provides dental continuing education courses to audiences around the world, suitable for dentists, orthodontists, oral and maxillofacial surgeons, hygienists and assistants.","IT Systems, Security and Data Privacy | Medix Dental IT",https://medixdental.com/presentations/dental-continuing-education-courses/,medixdental.com,"Medix Dental IT provides dental continuing education courses to audiences around the ... All courses are suitable for a dentist, orthodontist, oral and ..."
Temple University CDE , True , Continuing dental education program offered by the Kornberg School of Dentistry at Temple University.,Home |         Temple University,https://noncredit.temple.edu/cde,noncredit.temple.edu,Continuing Dental Education. To develop and enhance a continuing education program for Temple University Kornberg School of Dentistry consisting of ...
DentalCE , True ," Provider of continuing education courses and other resources for qualified dentists, hygienists and assistants worldwide.  ",,https://ssc.dentalxp.com/courseslandingpage.aspx,ssc.dentalxp.com,"Dental Continuing Education Courses - Dental CE · Hands-On Training with Xpert DentalXP Clinicians · Includes Didactic, Models, Pig Jaws, Cadavers and/or Live ..."
Herman Ostrow School of Dentistry , True , Service of American Dental Association offering Continuing Education Courses for dental professionals.,Herman Ostrow School of Dentistry - Dental CE,https://ostrowce.usc.edu/,ostrowce.usc.edu,ADA CERP is a service of the American Dental Association to assist dental professionals in identifying quality providers of continuing dental education. ADA ...
UIC , True ," College of Dentistry at the University of Illinois Chicago, offering CE courses for dentists and dental hygienists.  2.  CBVT and Beyond ",Homepage,http://padental.org/PDA22/Continuing_Education/Available_CECourses.aspx,padental.org,"Item 1 - 10 of 11 — CBVT and Beyond, Advanced Diagnostic Imaging in Dentistry ... Pitt Continuing Education Courses ... 3 Rivers Dental Conference. Farmington."
CT.GOV , True ," The official Connecticut state website, offering continuing education requirements for dentists.",CT.GOV-Connecticut's Official State Website,https://portal.ct.gov/DPH/Practitioner-Licensing--Investigations/Dentist/Dentist-Continuing-Education-Information,portal.ct.gov,Licensed dentists shall earn a minimum of twenty-five contact hours of qualifying continuing education every two years. One contact hour is a minimum of fifty ...
iHDS , True , An online learning platform dedicated to providing the best possible dental implant CE courses for dental professionals.,Dental Implant Education Courses | Dental CE Courses,https://ihdsce.com/,ihdsce.com,Implant Courses For Dentists ... iHDS is dedicated to providing the best possible dental implant CE courses for professionals who want to extend their knowledge ...
UTHSSA , True ," The University of Texas Health Science Center San Antonio School of Dentistry, offering ongoing CE courses for dental professionals.","Home, Continuing Dental Education, School of Dentistry, UT Health San Antonio",https://smile.uthscsa.edu/findacourse.php,smile.uthscsa.edu,"Upcoming courses ; Opioid Use and Misuse: What Dentists Should Know · August 15, 2023, Ernest B. Luce, DDS ; Responsible Dental Prescriber - Analgesic Prescribing ..."
South Beach Dental Institute , True , Provider of specialized courses such as continuing education to aid dentists and dental hygienists.,,https://sobedental.com/,sobedental.com,"Jun 19, 2023 — As a pivotal source of continuing education in dentistry, we are devoted to providing an array of specialized courses that aid practitioners ..."
UoL , True , University of Louisville School of Dentistry's Office of Continuing Education offering CE courses for dentists and dental hygienists.,University of Louisville,https://louisville.edu/dentistry/cde/office-of-continuing-education,louisville.edu,The University of Louisville School of Dentistry's Office of Continuing Education ... Sponsorship of a dental continuing education course does not imply ...
Homestead Schools , True, Online educational courses and continuing education courses for dental personnel.,Homestead Schools Inc – Online Educational Courses,https://www.homesteadschools.com/dental/,www.homesteadschools.com,Continuing Education Courses for Dental Personnel. Now you can select from a wide assortment of C.E. courses. You study at your own pace at your convenience ...
NCDS , True,North Carolina Dental Society affiliated with the American Dental Association offering CE courses to North Carolina dentists.,North Carolina Dental Society | American Dental Association,https://www.ncdental.org/events/nc-dental-ce,www.ncdental.org,"NC DENTAL CE Portal ... NCDS now offers an online catalog of CE opportunities that includes NCDS' signature course, Professionalism for New Dentists. Click the ..."
DSM Software and Billing 2023 , True,"Providing medical billing services for dentists, software to assist with Dental Sleep Medicine, TMD, and live and online continuing education courses.",Dental Sleep Medicine Software and Medical Billing Service for Dentists,https://niermanpm.com/dental-continuing-education/schedule,niermanpm.com,"2023 CE Courses for. Dental Sleep Medicine, TMD, and Medical Billing for Dentistry. Renowned live & online courses for dentists & team ..."
NYCDS|American Dental Association | False ," Professional society of dentists serving the New York City area, offering resources around dental healthcare and news and publications.",,New York County Dental Society | American Dental Association,https://www.nycdentalsociety.org/events-continuing-education,www.nycdentalsociety.org,What Do Dentists Do? Dental Health FAQs · Oral Health Topics · Find a Dentist · Complaint Resolution Process · News & Publications · Dentists' Quarterly · NYCDS ...
Elite | Dental Hygiene | False , Online training academy offering courses for dental hygienists on Human Trafficking and Preventing Medical Errors in Dentistry.  2. UIC | True ," College of Dentistry at the University of Illinois Chicago, offering CE courses for dentists and dental hygienists.",Elite | Dental Hygiene,http://www.elitedentalhygiene.com/courses/,www.elitedentalhygiene.com,"Buy this course. Human Trafficking for the Dentalcare Provider (Tracking ID ... Preventing Medical Errors in Dentistry (Tracking ID #: 20-735570, 2 CE ..."
Kois Center , False , A nonprofit dental research center providing educational content and services related to dentistry and dental health.,Advancing Dentistry Through Science | Kois Center,https://www.koiscenter.com/courses/,www.koiscenter.com,Do Dental Insurance Benefits Expire? Do Some Dentists Take More Continuing Education Than Others? ... Does Insurance Cover Cosmetic Dentistry? How Much Radiation ...
MDA , False ," Organization based in Maine providing dental support, but not offering CE courses.  2. ADA ",Maine Dental Association | American Dental Association,https://www.medental.org/meetings-events/continuing-education,www.medental.org,Having a dispute with your dentist? Oral Health Info ADA · Dental Health FAQ · Why Should I See A Dentist · What Do Dentists Do · Donated Services · Maine ...
DentalPost and igniteDDS , False ," Online platform connecting job-seeking dental professionals to employers, and offering a comprehensive CE library.",Dental Jobs & Employment All Over The USA | DentalPost,https://www.dentalpost.net/continuing-education/,www.dentalpost.net,Stay on course with DentalPost and igniteDDS University. · Comprehensive CE library: specialized courses for dental professionals · 2+ new courses added monthly ...
Welcome , False ," Online platform providing access to courses, activities, and programs for dental professionals.",Welcome -               Board of Dentistry,https://dentistry.ky.gov/Continuing-Education/Pages/Approved-Courses.aspx,dentistry.ky.gov,"Most continuing education courses associated with a dentist or dental hygienist license do not require pre-approval. For example, the 30 hours of CE ..."
UCSF Fresno ,"  2. True  3. University of California San Francisco Fresno with Dr. Baker, providing Continuing Dental Education courses since 1973.",,UCSF Fresno |,https://fresno.ucsf.edu/continuing-dental-education,fresno.ucsf.edu,"Baker, DDS and has been providing Continuing Dental Education courses since 1973. The goal of this program is to provide dentists, technicians, hygienists, ..."
